# Sheet 'Fosse 100' UsedRange starts at B1 ; data extent rows=15 cols=6
					
					
Q	507.535888342577		q	7.25051269060824	
RN	600		h	15.1100297586119	
PHE	602.317849748864		h*	6.12784974886392	
PHE Aval	596.19				
L	70				
Départ du jet 	587.207819990252				
					
					
	Véronèse	1.9 * q0.54 * h0.225	10.2020489994409		585.987951000559
	Damle	065 * q0.50 * h *0.50 	4.33263166290912		591.857368337091
	Martins	1.5 * q0.60 * h0.10 	6.46009673454575		589.729903265454
	Chian	1.18 * q0.51 * h 0.235	6.13475754066241		590.055242459338
			6.78238373438954		589.40761626561
