# Sheet 'Fosse' UsedRange starts at B1 ; data extent rows=15 cols=6
					
					
Q	794.925467002904		q	11.3560781000415	
RN	600		h	17.7423809891239	
PHE	603.067313368364		h*	6.8773133683643	
PHE Aval	596.19				
L	70				
Départ du jet 	585.32493237924				
					
					
	Véronèse	1.9 * q0.54 * h0.225	13.4773528509363		582.712647149064
	Damle	065 * q0.50 * h *0.50 	5.74429782617143		590.445702173829
	Martins	1.5 * q0.60 * h0.10 	8.59269648132393		587.597303518676
	Chian	1.18 * q0.51 * h 0.235	8.00877832577747		588.181221674223
			8.95578137105228		587.234218628948
