# Sheet 'Creager' UsedRange starts at B1 ; data extent rows=66 cols=16
															
								Ho	3.06731336836435						
								P	28						
								q	11.3560781000415						
								ha	0.00582268						
Cote seuil 	600			Hd	3.06731336836435			k	0.5						
RN	600			P	28			n	1.756						
PHE	603.067313368364			q	11.3560781000415										
Qs	794.925467002904			ha	0.00582268			Xc/Hd	0.283			Xc	0.868049683247112		2.669
Nbr de passes	1			ha	0.00681260406910506			Yc/Hd	0.126			Yc	0.386481484413908		1.187
Longueur passe	70			delta 	0.000989924069105057			R1/Hd	0.53			R1	1.62567608523311		4.982
Talus aval	0.8							R2/Hd	0.233			R2	0.714684014828894		2.209
				ha/Hd	0.00189829968468626										
															
															
															
					0.166149229803114										
				Pas	0.149645960482176										
															
				X	Z CREAGER	DX/DZ									
				0	600	-			0.214279608827359						
				0.149645960482176	599.992372275802	-19.618690530411									
				0.299291920964353	599.974236571674	-8.25145577057475									
				0.448937881446529	599.947492673649	-5.59551791375019									
75.9000000000001				0.598583841928706	599.912981353035	-4.33614123762355									
				0.748229802410882	599.871238416461	-3.58494089696174									
				0.897875762893059	599.822651068133	-3.07993676607819									
				1.04752172337524	599.767519174133	-2.71432649278686									
				1.19716768385741	599.70608550912	-2.43589504958244									
				1.34681364433959	599.638552830557	-2.21590441347704									
				1.49645960482176	599.565094418374	-2.03715212507437									
				1.64610556530394	599.485861014077	-1.8886726098622									
				1.79575152578612	599.400985618191	-1.76312533119219									
				1.94539748626829	599.310586937044	-1.65539981982021									
				2.09504344675047	599.214771937314	-1.56182185361591									
				2.24468940723265	599.113637788518	-1.47967785622805									
				2.39433536771482	599.007273372297	-1.40691751807983									
				2.543981328197	598.895760476871	-1.34196103429194									
				2.69362728867918	598.779174757461	-1.28357024547474									
				2.84327324916135	598.657586519281	-1.23076016827624									
				2.99291920964353	598.531061363718	-1.18273682269816									
				3.14256517012571	598.399660727375	-1.13885263151198									
				3.29221113060788	598.26344233611	-1.09857383494834									
				3.44185709109006	598.122460590803	-1.06145629106904									
				3.59150305157224	597.976766897682	-1.02712723713031									
				3.74114901205441	597.826409953208	-0.995271359135465									
				3.89079497253659	597.671435991354	-0.965620022171771									
				4.04044093301876	597.511888999528	-0.937942851632078									
				4.19008689350094	597.347810908153	-0.912041084996105									
				4.33973285398312	597.179241757938	-0.887742272485126									
				4.48937881446529	597.006219848183	-0.864896016313673									
				4.63902477494747	596.828781868809	-0.843370517459578									
				4.78867073542964	596.646963018392	-0.823049756060492									
				4.93831669591182	596.460797110083	-0.803831173177134									
				5.087962656394	596.270316666967	-0.785623752412896									
				5.23760861687617	596.075553008231	-0.768346422805867									
				5.38725457735835	595.876536327243	-0.751926721614803									
				5.53690053784053	595.673295762512	-0.736299668722985									
				5.6865464983227	595.465859462366	-0.721406814415647									
				5.83619245880488	595.254254644042	-0.707195429987375									
				5.98583841928705	595.038507647811	-0.693617816684227									
				6.13548437976923	594.81864398667	-0.680630713168738									
				6.28513034025141	594.594688392065	-0.668194785425075									
				6.43477630073358	594.366664856042	-0.656274185955478									
				6.58442226121576	594.134596670195	-0.644836171473652									
				6.73406822169793	593.898506461713	-0.633850770196886									
