# Sheet 'Lam 1 000' UsedRange starts at A1 ; data extent rows=600 cols=18
																	
																	
	Période de retour	1000															
	Débit de pointe entrant	820															
	RN	600															
	Nbr de passes effacées	1															
	Nbr de pertuis de VDF	0															
																	
	PHE	603.067313368364															
	Débit de pointe sortant	794.925467002904															
																	
	Crête déversoir	605															
																	
	Qs EVC	794.925467002904															
	Qs VDF	0															
																	
			Pas	0.1													
																	
																	
			t(h)	Qe	Zi	Ve	Vi	Qs EVC	Vs	DV	Vf	Zf		Qs VDF	Qs Total		Déversement
	3.06731336836435		0	0	600	0	4.7	0	0	0	4.7	600		0	0		0
			0.1	16.4	600	0.002952	4.7	0	0	0.002952	4.702952	590		0	0		0
			0.2	32.8	590	0.008856	4.702952	0	0	0.008856	4.711808	599.903616		0	0		0
			0.3	49.2	599.903616	0.01476	4.711808	0	0	0.01476	4.726568	599.933136		0	0		0
			0.4	65.6	599.933136	0.020664	4.726568	0	0	0.020664	4.747232	599.974464		0	0		0
			0.5	82	599.974464	0.026568	4.747232	0	0	0.026568	4.7738	600.0276		0	0		0
			0.6	98.4	600.0276	0.032472	4.7738	1.71829457106662	0.000309293022791991	0.032162706977208	4.80596270697721	600.091925413954		0	1.71829457106662		1.71829457106662
			0.7	114.8	600.091925413954	0.038376	4.80596270697721	5.72300506307543	0.00133943393414557	0.0370365660658544	4.84299927304306	600.165998546086		0	5.72300506307543		5.72300506307543
			0.8	131.2	600.165998546086	0.04428	4.84299927304306	10.3345797298805	0.00289036526273207	0.0413896347372679	4.88438890778033	600.248777815561		0	10.3345797298805		10.3345797298805
			0.9	147.6	600.248777815561	0.050184	4.88438890778033	15.4881728217224	0.00464809545928851	0.0455359045407115	4.92992481232104	600.339849624642		0	15.4881728217224		15.4881728217224
			1	164	600.339849624642	0.056088	4.92992481232104	23.808828651791	0.0070734602652324	0.0490145397347676	4.97893935205581	600.437878704112		0	23.808828651791		23.808828651791
			1.1	180.4	600.437878704112	0.061992	4.97893935205581	36.4327160641379	0.0108434780488672	0.0511485219511328	5.03008787400694	600.540175748014		0	36.4327160641379		36.4327160641379
			1.2	196.8	600.540175748014	0.0678960000000001	5.03008787400694	49.6062189861795	0.0154870083090571	0.0524089916909429	5.08249686569788	600.644993731396		0	49.6062189861795		49.6062189861795
			1.3	213.2	600.644993731396	0.0738000000000001	5.08249686569788	65.2642940546929	0.0206766923473571	0.053123307652643	5.13562017335053	600.751240346701		0	65.2642940546929		65.2642940546929
			1.4	229.6	600.751240346701	0.0797040000000001	5.13562017335053	84.0468011339137	0.0268759971339492	0.0528280028660508	5.18844817621658	600.856896352433		0	84.0468011339137		84.0468011339137
			1.5	246	600.856896352433	0.0856080000000001	5.18844817621658	102.724898971895	0.0336189060190457	0.0519890939809544	5.24043727019753	600.960874540395		0	102.724898971895		102.724898971895
