# Sheet 'Fosse 10' UsedRange starts at B1 ; data extent rows=15 cols=6
					
					
Q	160.735240718924		q	2.29621772455606	
RN	600		h	17.0904923115248	
PHE	601.131834982254		h*	4.94183498225391	
PHE Aval	596.19				
L	70				
Départ du jet 	584.041342670729				
					
					
	Véronèse	1.9 * q0.54 * h0.225	5.63729075460636		590.552709245394
	Damle	065 * q0.50 * h *0.50 	2.18959608957677		594.000403910423
	Martins	1.5 * q0.60 * h0.10 	3.28076071075553		592.909239289245
	Chian	1.18 * q0.51 * h 0.235	3.51314435370634		592.676855646294
			3.65519797716125		592.534802022839
