X Z Zh Mur HM
0 600 600.813053 601.520583 1.520583
0.175447 599.97857 600.694007 601.410217 1.431647
0.350894 599.927617 600.573585 601.29728 1.369663
0.526341 599.852479 600.441894 601.17275 1.320272
0.701788 599.755518 600.297371 601.0352 1.279682
0.877235 599.638239 600.139441 600.884091 1.245852
1.052682 599.501731 599.967739 600.719086 1.217355
1.228129 599.346836 599.782084 600.540014 1.193178
1.403576 599.174235 599.582401 600.346805 1.172569
1.579023 598.9845 599.36865 600.139424 1.154924
1.75447 598.778115 599.140843 599.917886 1.139771
1.929917 598.555506 598.89902 599.682235 1.126729
2.105364 598.317045 598.643241 599.432534 1.115489
2.280811 598.063066 598.373584 599.168862 1.105795
2.456258 597.79387 598.090133 598.891308 1.097437
2.631705 597.50973 597.792983 598.599967 1.090237
2.807152 597.210895 597.482233 598.294942 1.084047
2.982599 596.897595 597.157983 597.976336 1.078741
3.158046 596.570043 596.820336 597.644255 1.074212
3.333493 596.228436 596.469397 597.298804 1.070368
3.50894 595.872958 596.105271 596.94009 1.067132
3.684387 595.503783 595.728058 596.568217 1.064434
3.859834 595.121072 595.33786 596.183288 1.062216
4.035281 594.724978 594.934776 595.785404 1.060427
4.210728 594.315646 594.518903 595.374666 1.059021
4.386175 593.893212 594.090337 594.951171 1.057959
4.561622 593.457806 593.649171 594.515014 1.057208
4.737069 593.009553 593.195498 594.066288 1.056736
4.912516 592.548569 592.729405 593.605084 1.056516
5.087963 592.074967 592.25098 593.131491 1.056524
5.305402 591.803168 591.975057 592.859878 1.05671
5.522841 591.53137 591.699625 592.588388 1.057019
5.740279 591.259571 591.424446 592.317006 1.057436
5.957718 590.987772 591.149491 592.045716 1.057944
6.175157 590.715974 590.874739 591.774503 1.058529
6.392596 590.444175 590.600169 591.503354 1.05918
6.610035 590.172376 590.325765 591.232261 1.059885
6.827474 589.900577 590.051512 590.961214 1.060636
7.044913 589.628779 589.777396 590.690205 1.061426
7.262352 589.35698 589.503407 590.419228 1.062248
7.479791 589.085181 589.229533 590.148278 1.063097
7.69723 588.813383 588.955767 589.87735 1.063967
7.914669 588.541584 588.6821 589.606439 1.064855
8.132108 588.269785 588.408524 589.335542 1.065756
8.349547 587.997987 588.135033 589.064655 1.066668
8.566986 587.726188 587.861622 588.793776 1.067588
8.784425 587.454389 587.588284 588.522902 1.068513
9.001864 587.182591 587.315015 588.252031 1.069441
9.219303 586.910792 587.041811 587.981162 1.07037
9.436741 586.638993 586.768667 587.710292 1.071299
9.65418 586.367195 586.495579 587.43942 1.072225
9.871619 586.095396 586.222545 587.168545 1.073149
10.089058 585.823597 585.949562 586.897665 1.074068
10.306497 585.551799 585.676625 586.62678 1.074982
10.523936 585.28 585.403733 586.355889 1.075889
10.526394 583.812776 583.952354 584.878099 1.065323
10.528851 583.814888 583.954098 584.880399 1.065511
10.531309 583.816999 583.955833 584.882705 1.065706
10.533766 583.819109 583.957572 584.88501 1.065901
10.536224 583.821218 583.959313 584.887314 1.066097
10.538681 583.823326 583.961059 584.889618 1.066292
10.541139 583.825433 583.962808 584.891919 1.066487
10.543596 583.827538 583.964561 584.89422 1.066681
10.546054 583.829643 583.966318 584.896519 1.066876
10.548511 583.831747 583.96808 584.898816 1.067069
10.550969 583.83385 583.969846 584.901111 1.067261
10.553426 583.835951 583.971617 584.903404 1.067452
10.555884 583.838052 583.973393 584.905694 1.067642
10.558341 583.840151 583.975174 584.907982 1.06783
10.560799 583.84225 583.97696 584.910267 1.068017
10.563256 583.844347 583.978751 584.912549 1.068202
10.565714 583.846444 583.980547 584.914828 1.068384
10.568171 583.848539 583.982349 584.917104 1.068565
10.570629 583.850634 583.984157 584.919377 1.068743
10.573086 583.852727 583.98597 584.921645 1.068919
10.575544 583.854819 583.987789 584.92391 1.069091
10.578001 583.85691 583.989614 584.926171 1.069261
10.580459 583.859 583.991444 584.928428 1.069428
10.582916 583.861089 583.993281 584.930681 1.069592
10.585374 583.863177 583.995124 584.932929 1.069752
10.587831 583.865264 583.996973 584.935172 1.069908
10.590289 583.86735 583.998829 584.937411 1.070061
10.592746 583.869435 584.000691 584.939645 1.07021
10.595204 583.871519 584.002559 584.941874 1.070355
10.597661 583.873601 584.004433 584.944097 1.070496
10.600119 583.875683 584.006315 584.946316 1.070633
10.602576 583.877763 584.008202 584.948528 1.070765
10.605034 583.879843 584.010097 584.950736 1.070893
10.607491 583.881921 584.011998 584.952937 1.071016
10.609949 583.883998 584.013906 584.955133 1.071134
10.612406 583.886075 584.01582 584.957322 1.071248
10.614864 583.88815 584.017742 584.959506 1.071356
10.617321 583.890224 584.01967 584.961683 1.071459
10.619779 583.892297 584.021605 584.963854 1.071557
10.622236 583.894369 584.023547 584.966019 1.07165
10.624694 583.896439 584.025496 584.968177 1.071737
10.627151 583.898509 584.027452 584.970328 1.071819
10.629609 583.900578 584.029415 584.972473 1.071895
10.632066 583.902645 584.031385 584.974611 1.071966
10.634524 583.904712 584.033363 584.976743 1.072031
10.636981 583.906777 584.035347 584.978867 1.07209
10.639439 583.908841 584.037338 584.980985 1.072143
10.641896 583.910905 584.039337 584.983095 1.07219
10.644354 583.912967 584.041343 584.985198 1.072232
