X Z Zh Mur HM
0 600 602.360048 603.207085 3.207085
0.130461 599.994005 602.256962 603.110732 3.116726
0.260921 599.979753 602.171844 603.030839 3.051087
0.391382 599.958734 602.082909 602.947184 2.988449
0.521842 599.931612 601.994444 602.863735 2.932123
0.652303 599.898806 601.902598 602.776958 2.878152
0.782763 599.860621 601.811273 602.690412 2.829791
0.913224 599.817293 601.717334 602.601231 2.783938
1.043685 599.769012 601.620965 602.509584 2.740571
1.174145 599.715939 601.522187 602.415486 2.699547
1.304606 599.658208 601.420961 602.318901 2.660693
1.435066 599.595938 601.316796 602.219391 2.623453
1.565527 599.529234 601.210723 602.117867 2.588633
1.695988 599.45819 601.101968 602.01364 2.55545
1.826448 599.382889 600.990533 601.906708 2.523819
1.956909 599.303408 600.876407 601.797061 2.493654
2.087369 599.219816 600.759575 601.684684 2.464869
2.21783 599.132178 600.64002 601.569561 2.437383
2.34829 599.040553 600.517726 601.451674 2.411122
2.478751 598.944997 600.392677 601.33101 2.386014
2.609212 598.84556 600.264634 601.207365 2.361805
2.739672 598.742293 600.13411 601.081171 2.338878
2.870133 598.635239 600.000769 600.952142 2.316903
3.000593 598.524441 599.86461 600.820276 2.295835
3.131054 598.40994 599.72563 600.68557 2.27563
3.261515 598.291775 599.583826 600.548022 2.256247
3.391975 598.169981 599.439195 600.407627 2.237646
3.522436 598.044592 599.291734 600.264383 2.219791
3.652896 597.915643 599.141441 600.118288 2.202644
3.783357 597.783165 598.988314 599.969339 2.186174
3.913817 597.647187 598.832351 599.817535 2.170348
4.044278 597.507738 598.673551 599.662875 2.155137
4.174739 597.364847 598.511913 599.505359 2.140512
4.305199 597.218539 598.347438 599.344987 2.126448
4.43566 597.06884 598.180017 599.181676 2.112836
4.56612 596.915775 598.009896 599.015615 2.099839
4.696581 596.759368 597.836933 598.846694 2.087326
4.827041 596.599641 597.661131 598.674918 2.075277
4.957502 596.436617 597.482494 598.50029 2.063673
5.087963 596.270317 597.301025 598.322812 2.052496
5.413602 595.863268 596.859762 597.890922 2.027654
5.739241 595.456219 596.421999 597.462042 2.005823
6.06488 595.04917 595.987156 597.035653 1.986482
6.390519 594.642122 595.554785 596.611355 1.969233
6.716158 594.235073 595.124529 596.188833 1.953761
7.041797 593.828024 594.696103 595.767836 1.939812
7.367436 593.420975 594.269274 595.348157 1.927182
7.693075 593.013927 593.843809 594.929603 1.915677
8.018714 592.606878 593.419641 594.512093 1.905215
8.344353 592.199829 592.996576 594.095472 1.895643
8.669992 591.79278 592.574501 593.679642 1.886862
8.995631 591.385731 592.153318 593.264519 1.878787
9.32127 590.978683 591.732941 592.850029 1.871346
9.646909 590.571634 591.313298 592.43611 1.864476
9.972548 590.164585 590.894323 592.022708 1.858122
10.298187 589.757536 590.47596 591.609773 1.852237
10.623826 589.350488 590.05816 591.197265 1.846777
10.949465 588.943439 589.640876 590.785145 1.841706
11.275104 588.53639 589.224071 590.373381 1.836991
11.600743 588.129341 588.807708 589.961944 1.832602
11.926382 587.722293 588.391755 589.550806 1.828513
12.252021 587.315244 587.976185 589.139945 1.824701
12.57766 586.908195 587.56097 588.729339 1.821144
12.903299 586.501146 587.146087 588.318969 1.817822
13.228938 586.094098 586.731516 587.908817 1.81472
13.554577 585.687049 586.317236 587.498869 1.81182
13.880216 585.28 585.903231 587.089109 1.809109
13.985866 585.195337 585.817244 587.00394 1.808602
14.091515 585.118114 585.738845 586.926269 1.808154
14.197165 585.04765 585.667338 586.855409 1.807759
14.302815 584.983393 585.602158 586.790804 1.807411
14.408465 584.924894 585.542847 586.731999 1.807106
14.514115 584.871777 585.489021 586.678617 1.80684
14.619764 584.823733 585.440362 586.630344 1.80661
14.725414 584.7805 585.396621 586.586921 1.806421
14.831064 584.741857 585.357537 586.548114 1.806257
14.936714 584.707619 585.322939 586.513743 1.806124
15.042363 584.677631 585.292667 586.48365 1.806019
15.148013 584.651761 585.266589 586.457703 1.805942
15.253663 584.629902 585.244594 586.435793 1.805891
15.359313 584.611964 585.226591 586.417831 1.805867
15.464962 584.597877 585.212508 586.403746 1.805869
15.570612 584.587586 585.202289 586.393481 1.805895
15.676262 584.581053 585.195895 586.387 1.805947
15.781912 584.578252 585.193305 586.384277 1.806025
15.887561 584.579173 585.194504 586.385301 1.806128
15.993211 584.58382 585.199496 586.390076 1.806256
16.098861 584.59221 585.208299 586.398619 1.806409
16.204511 584.604375 585.220945 586.410963 1.806588
16.31016 584.620361 585.237482 586.427155 1.806794
16.41581 584.640231 585.257974 586.447258 1.807027
16.52146 584.664064 585.282503 586.471352 1.807288
16.62711 584.691958 585.311169 586.499537 1.807579
16.732759 584.724033 585.344075 586.531926 1.807893
16.838409 584.76043 585.381404 586.568677 1.808247
16.944059 584.801321 585.423313 586.609956 1.808635
17.049709 584.846907 585.470009 586.655967 1.80906
17.155358 584.897427 585.521737 586.706952 1.809524
17.261008 584.953167 585.578788 586.763199 1.810032
17.366658 585.014466 585.641512 586.825052 1.810586
17.472308 585.081735 585.710328 586.892926 1.811192
17.577957 585.15547 585.785745 586.967324 1.811855
17.683607 585.236282 585.868392 587.048865 1.812583
17.789257 585.324932 585.959058 587.138321 1.813389
